일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2024/01/02","2340","40","1.74","2315","2360","2300","2242924","5215499660","477966654360","204259254"
"2023/12/28","2300","-25","-1.08","2320","2320","2230","3519256","7971065500","469796284200","204259254"
"2023/12/27","2325","15","0.65","2350","2355","2280","2087431","4816970045","474902765550","204259254"
"2023/12/26","2310","0","0.00","2340","2420","2310","3482075","8209479185","471838876740","204259254"
"2023/12/22","2310","-15","-0.65","2350","2370","2280","3320808","7679777410","471838876740","204259254"
"2023/12/21","2325","-100","-4.12","2415","2420","2310","3989567","9374344740","474902765550","204259254"
"2023/12/20","2425","0","0.00","2430","2460","2420","2032070","4936914785","495328690950","204259254"
"2023/12/19","2425","-30","-1.22","2450","2470","2420","2573274","6254589100","495328690950","204259254"
"2023/12/18","2455","-30","-1.21","2485","2485","2435","2072412","5089321340","501456468570","204259254"
"2023/12/15","2485","-25","-1.00","2510","2540","2475","2598504","6495739240","507584246190","204259254"
"2023/12/14","2510","10","0.40","2595","2595","2500","2569482","6515510125","512690727540","204259254"
"2023/12/13","2500","-105","-4.03","2605","2605","2490","3687595","9304149240","510648135000","204259254"
"2023/12/12","2605","20","0.77","2610","2670","2565","3813761","9981651155","532095356670","204259254"
"2023/12/11","2585","80","3.19","2505","2730","2505","8151665","21501288990","528010171590","204259254"
"2023/12/08","2505","60","2.45","2445","2590","2440","4656752","11704949710","511669431270","204259254"
"2023/12/07","2445","-70","-2.78","2500","2515","2435","3120887","7691799600","499413876030","204259254"
"2023/12/06","2515","-35","-1.37","2555","2555","2480","2029788","5111228395","513712023810","204259254"
"2023/12/05","2550","-70","-2.67","2620","2645","2535","2866319","7421993395","520861097700","204259254"
"2023/12/04","2620","-105","-3.85","2700","2730","2590","3836219","10094435100","535159245480","204259254"
"2023/12/01","2725","35","1.30","2635","2815","2605","10936639","30057543305","556606467150","204259254"
"2023/11/30","2690","235","9.57","2455","2695","2425","14233969","36958356080","549457393260","204259254"
"2023/11/29","2455","0","0.00","2520","2520","2445","2008902","4949227800","501456468570","204259254"
"2023/11/28","2455","-25","-1.01","2480","2490","2445","2201347","5412368215","501456468570","204259254"
"2023/11/27","2480","10","0.40","2535","2540","2445","2531309","6280255455","506562949920","204259254"
"2023/11/24","2470","10","0.41","2455","2490","2420","2329515","5705317835","504520357380","204259254"
"2023/11/23","2460","30","1.23","2520","2570","2450","4722743","11878549640","502477764840","204259254"
"2023/11/22","2430","-50","-2.02","2480","2490","2420","2609802","6371457765","496349987220","204259254"
"2023/11/21","2480","-35","-1.39","2515","2515","2450","1988650","4925344320","506562949920","204259254"
"2023/11/20","2515","30","1.21","2500","2540","2485","1681200","4230085870","513712023810","204259254"
"2023/11/17","2485","-105","-4.05","2590","2590","2470","2810513","7026164580","507584246190","204259254"
"2023/11/16","2590","-5","-0.19","2595","2665","2525","3760180","9837594035","529031467860","204259254"
"2023/11/15","2595","70","2.77","2550","2640","2535","4291147","11114599280","530052764130","204259254"
"2023/11/14","2525","85","3.48","2440","2525","2440","2219363","5517634200","515754616350","204259254"
"2023/11/13","2440","-85","-3.37","2525","2560","2435","2737938","6770631010","498392579760","204259254"
"2023/11/10","2525","-75","-2.88","2570","2585","2500","2139892","5407953300","515754616350","204259254"
"2023/11/09","2600","-50","-1.89","2645","2665","2585","1844099","4814507785","531074060400","204259254"
"2023/11/08","2650","-100","-3.64","2750","2790","2630","2731359","7384361750","541287023100","204259254"
"2023/11/07","2750","-15","-0.54","2795","2885","2660","5911761","16342730180","561712948500","204259254"
